file,caption,details
atomium.jpg,A family heading to the Atomium,Fujifilm X-S10
bercy.jpg,The terasse of Bibliothèque François-Mitterand,Fujifilm X-S10
circles.jpg,A large circular structure overlooking a building,Ricoh 500 ST
bungy.jpg,A tower overlooking the sea at Schevige,Ricoh 500 ST (Ilford Delta 400)
couple.jpg,A couple walking in a park,Fujifilm X-S10
dish.jpg,A skate-park in Paris.,Fujifilm X-S10
escalator.jpg,An escalator in a metro station in Amsterdam,Ricoh 500 ST (Ilford Delta 400)
fountain.jpg,"Kids playing by a fountain in Parc Kellerman, Paris",Fujifilm X-S10
garedunord.jpg,"A blurry scene inside Garde du Nord, Paris",Ricoh 500 ST (Ilford Delta 400)
gondoles.jpg,Gondolas overlooking Grenoble,Fujifilm X-S10
greenframe.jpg,A man visiting the Grande mosquée de Paris,Fujifilm X-S10
illusion.jpg,Buildings in Paris,Fujifilm X-S10
lonely.jpg,A man crossing a large outdoor car park,Fujifilm X-S10
metropolis.jpg,An imposing building under a menacing sky,Fujifilm X-S10
pattern.jpg,A mosaic at the Grande mosquée de Paris,Fujifilm X-S10
phare.jpg,A lighthouse on Capri island,Fujifilm X100S
poncho.jpg,A woman covering her head under a coat,Ricoh 500 ST
rap.jpg,A covered bicycle parking in Brussels,Fujisilm X-S10
roman.jpg,An elderly man walking in Rome,Fujifilm X100S
schevinge.jpg,"A couple overlooking the beach in Schevinge, Netherlands",Ricoh 500 ST
shadows.jpg,A man walking in Paris,Fujifilm X-S10
stairs.jpg,Dimly lit stairs inside the Atomium,Fujifilm X-S10
umbrella.jpg,A group of people gathering under the rain,Fujifilm X100S
